"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного входа в систему при нажатии на кнопку 'Личный кабинет' на главной странице","5914","Вход через кнопку «Личный кабинет»","","Sun Apr 27 22:40:38 SAMT 2025","passed","Sun Apr 27 22:40:43 SAMT 2025","","tests.LoginTest","tests.LoginTest","loginThroughAccountButtonSuccess"
"Проверка перехода на страницу входа со страницы восстановления пароля и успешной авторизации","5041","Вход через кнопку в форме восстановления пароля","","Sun Apr 27 22:40:32 SAMT 2025","passed","Sun Apr 27 22:40:38 SAMT 2025","","tests.LoginTest","tests.LoginTest","registerRecoverPasswordPageSuccess"
"Проверка возврата в конструктор бургеров из личного кабинета","6340","Переход из личного кабинета в конструктор","","Sun Apr 27 22:41:18 SAMT 2025","passed","Sun Apr 27 22:41:24 SAMT 2025","","tests.ProfileTest","tests.ProfileTest","registerAccountButtonSuccess"
"Проверка перехода на страницу входа из формы регистрации и успешной авторизации","10250","Вход через кнопку в форме регистрации","","Sun Apr 27 22:40:17 SAMT 2025","passed","Sun Apr 27 22:40:27 SAMT 2025","","tests.LoginTest","tests.LoginTest","registerRegisterPageSuccess"
"При открытии главной страницы по умолчанию должен быть активен раздел 'Булки'","4951","Проверка раздела 'Булки' по умолчанию","","Sun Apr 27 22:40:55 SAMT 2025","passed","Sun Apr 27 22:41:00 SAMT 2025","","tests.MainPageTest","tests.MainPageTest","testBunsSectionIsActiveByDefault"
"Проверка функционала выхода из системы через кнопку 'Выйти' в личном кабинете","7687","Выход по кнопке «Выйти» в личном кабинете.","","Sun Apr 27 22:40:43 SAMT 2025","passed","Sun Apr 27 22:40:51 SAMT 2025","","tests.LogoutTest","tests.LogoutTest","logOutTestSuccess"
"После переключения с другого раздела на 'Булки' должен отображаться корректный контент","4693","Проверка переключения на раздел 'Булки'","","Sun Apr 27 22:41:07 SAMT 2025","passed","Sun Apr 27 22:41:11 SAMT 2025","","tests.MainPageTest","tests.MainPageTest","testSwitchToBunsSection"
"Проверка возврата на главную страницу через клик по логотипу из личного кабинета","6199","Переход из личного кабинета в конструктор по клику на логотип","","Sun Apr 27 22:41:11 SAMT 2025","passed","Sun Apr 27 22:41:18 SAMT 2025","","tests.NavigationTest","tests.NavigationTest","testNavigationFromProfileToConstructorViaLogo"
"Проверка отображения ошибки при попытке регистрации с паролем короче 6 символов","5382","Негативная регистрация с коротким паролем","","Sun Apr 27 22:41:41 SAMT 2025","passed","Sun Apr 27 22:41:47 SAMT 2025","","tests.RegisterTest","tests.RegisterTest","registerNewUserWithShortPasswordFail"
"При клике на вкладку 'Начинки' должен активироваться соответствующий раздел","4226","Переход в раздел 'Начинки'","","Sun Apr 27 22:40:51 SAMT 2025","passed","Sun Apr 27 22:40:55 SAMT 2025","","tests.MainPageTest","tests.MainPageTest","testNavigateToFillingsSection"
"При клике на вкладку 'Соусы' должен активироваться соответствующий раздел","6353","Переход в раздел 'Соусы'","","Sun Apr 27 22:41:00 SAMT 2025","passed","Sun Apr 27 22:41:07 SAMT 2025","","tests.MainPageTest","tests.MainPageTest","testNavigateToSaucesSection"
"Проверка успешного перехода в личный кабинет после авторизации","6491","Переход в Профиль","","Sun Apr 27 22:41:24 SAMT 2025","passed","Sun Apr 27 22:41:30 SAMT 2025","","tests.ProfileTest","tests.ProfileTest","clickAccountLinkSuccess"
"Проверка успешной регистрации нового пользователя с валидными данными","5288","Тест успешной регистрации пользователя","","Sun Apr 27 22:41:36 SAMT 2025","passed","Sun Apr 27 22:41:41 SAMT 2025","","tests.RegisterTest","tests.RegisterTest","registerNewUserSuccess"
"Проверка возврата на главную страницу через клик по логотипу из личного кабинета","5520","Переход из личного кабинета на главную страницу по клику на логотип Stellar Burgers","","Sun Apr 27 22:41:30 SAMT 2025","passed","Sun Apr 27 22:41:36 SAMT 2025","","tests.ProfileTest","tests.ProfileTest","clickLogoGetMainPage"
"Проверка успешного входа через кнопку 'Войти в аккаунт' на главной странице","5302","Вход по кнопке «Войти в аккаунт» на главной","","Sun Apr 27 22:40:27 SAMT 2025","passed","Sun Apr 27 22:40:32 SAMT 2025","","tests.LoginTest","tests.LoginTest","registerAccountButtonSuccess"
